,BC_ALH_RES,BC_ALU_RES,BC_BR1_RES,BC_GMS_RES,BC_LDR_RES,BC_MCA_RES,BC_REV_RES,BC_SCA_RES,BC_SEV_RES,BC_SON_RES,BC_WGS_RES,BC_JHT_RES,BC_PCN_RES,BC_RUS_RES,BC_SFL_RES,BC_STC_RES
2021-11-26 20:00:00,202445.64843736312,8453.392703277426,71607.90279306997,1900882.4013086814,41011.07349239739,647598.2706098323,343733.5877718888,243042.17399367082,1117073.7682395303,35153.70117555172,12323.344210549083,0.0,0.0,0.0,0.0,0.0
2021-11-26 21:00:00,207817.31425342566,7933.816229977352,71666.04678103395,1903822.1613862058,41083.80035151125,647822.51614382,343267.68506714876,241628.92340340093,1112597.973863414,35141.18070555316,12384.583712700243,0.0,0.0,0.0,0.0,0.0
2021-11-26 22:00:00,216719.19608135716,7797.281825658374,71666.04678103395,1904374.0104183718,40966.78334184593,647977.7452558096,343203.0860979192,240721.96313859383,1120207.7426247864,35156.66864861583,12388.420042750227,0.0,0.0,0.0,0.0,0.0
2021-11-26 23:00:00,216952.13465168964,7665.404031993087,71665.55156473596,1902869.2631231344,40710.500691365254,648204.8020804992,343571.4686636029,239853.39387272054,1130168.7303112214,35155.76786544183,12359.651499752898,0.0,0.0,0.0,0.0,0.0
2021-11-27 00:00:00,226055.74829464656,7476.29542867998,71666.04678103395,1905844.8333327956,40448.68360419015,647761.4089888349,344848.0373468951,239912.31608413093,1124130.2225704538,35138.21298191343,12360.273767011431,0.0,0.0,0.0,0.0,0.0
2021-11-27 01:00:00,226464.25197248982,7453.876725768838,71666.04678103395,1906113.6738222875,40145.05003179316,648195.1522751828,345375.2496694307,240772.41544183614,1126242.4108812949,35117.257250349234,12341.897065353054,0.0,0.0,0.0,0.0,0.0
2021-11-27 02:00:00,228142.03830337082,7181.424074123255,71646.84040853422,1916027.8953856656,40088.94667360958,648369.9116114207,345899.8892772294,240506.6961592767,1121936.2141927287,35132.13873020321,12311.122735794255,0.0,0.0,0.0,0.0,0.0
2021-11-27 03:00:00,223151.03814136257,6965.00740256942,71586.69002493714,1914719.1914311626,40279.301163647506,647678.5921373401,345667.97317219665,241784.63744150414,1129665.5803314634,35132.07551199397,12325.379892885414,0.0,0.0,0.0,0.0,0.0
2021-11-27 04:00:00,217676.78118159322,6844.490707070433,71631.62920997337,1911707.2130260903,40676.805222920804,648276.2990612814,345060.23032924335,240709.1472979271,1156921.7607717845,35101.65604720619,12325.569939603904,0.0,0.0,0.0,0.0,0.0
2021-11-27 05:00:00,219352.024375289,6748.009385480149,71617.75048004635,1911762.6725715878,41807.06853569362,647580.7452087149,344575.6442406136,240520.5930217793,1164558.7811091146,35079.743905273426,12376.34431141998,0.0,0.0,0.0,0.0,0.0
2021-11-27 06:00:00,216963.34741815325,6773.016765840203,71614.23121688372,1917986.7891924114,44915.82954704898,647734.0943569553,344416.5051851615,240946.356029951,1158934.4269747324,35094.94659016946,12393.253413719409,0.0,0.0,0.0,0.0,0.0
2021-11-27 07:00:00,240639.63851138894,6716.676571117889,71471.77253969763,1926725.5815249707,47732.15430358073,648049.9422098132,343937.37162649777,241336.67846889622,1156453.6679272838,35117.255800593215,12384.062470858666,0.0,0.0,0.0,0.0,0.0
2021-11-27 08:00:00,238386.63335749414,6818.839711170688,71453.02544426815,1922295.4361057503,49204.13661378495,648296.6182287304,343385.4663514673,241328.96596304068,1160607.0263795326,35146.41145501061,12335.155055598543,0.0,0.0,0.0,0.0,0.0
2021-11-27 09:00:00,250825.92945760605,7146.739517083904,71480.56929010084,1919919.2568120954,51324.35198200287,647018.7666371855,344315.3404001732,242068.671071002,1141743.8294662542,35127.152213847425,12320.214525415715,0.0,0.0,0.0,0.0,0.0
2021-11-27 10:00:00,231785.64278824755,7832.422254189545,71494.44802002786,1927702.519347968,55673.302531164125,647706.6274416232,344197.3737130012,244885.02051244144,1156230.75752637,35097.0638520316,12358.13719551966,0.0,0.0,0.0,0.0,0.0
2021-11-27 11:00:00,248800.17620525233,8825.074308488374,71482.5300575962,1930790.0453685166,57253.497854909976,648466.1298450575,343649.0429807413,249579.98838907215,1164277.737692626,35068.72832505909,12389.981300567153,0.0,0.0,0.0,0.0,0.0
2021-11-27 12:00:00,251157.11596705508,10894.804429331467,71390.0769817716,1928297.23278934,57452.35325809995,647033.2503400007,343824.24920429883,253925.3540361632,1151706.13877372,35081.888001884814,12435.051363770777,0.0,0.0,0.0,0.0,0.0
2021-11-27 13:00:00,274987.47031403263,12286.187358270146,71397.08198647076,1932199.5034265434,52428.18307121364,647166.5983747349,344182.4064685001,252990.12518911733,1142780.9657691095,35080.47559110243,12513.73602880224,0.0,0.0,0.0,0.0,0.0
2021-11-27 14:00:00,257136.42514922548,14299.300227729844,71499.34180111083,1941445.6901058862,53050.56013116577,647673.5102717599,344255.71191844024,262962.04884023056,1153027.408777784,35089.62458748128,12488.639464076135,0.0,0.0,0.0,0.0,0.0
2021-11-27 15:00:00,290731.4162830922,16137.496248899664,71499.34180111083,1931989.0870112632,55403.88348285312,646908.1448360538,343787.0415551384,275009.7962888861,1180641.624915358,35118.64428167952,12365.261318678637,0.0,0.0,0.0,0.0,0.0
2021-11-27 16:00:00,280673.39770412,19854.408773401316,71416.5382912238,1936045.062757265,58429.83489491722,646299.6198226506,343958.32030257495,292972.5645657591,1190240.0655540798,35075.8179638139,12283.30758731506,0.0,0.0,0.0,0.0,0.0
2021-11-27 17:00:00,286483.72856897296,22285.26419726562,71496.10685194535,1942613.2813134876,60834.14064326484,646119.5153842598,343738.87089586817,321584.6018460249,1165502.478840988,35072.902831131214,12303.285672213238,0.0,0.0,0.0,0.0,0.0
2021-11-27 18:00:00,272973.4934069594,24165.867348654316,71552.29291141391,1935163.958374821,60121.39910696074,645882.910674497,343681.0814516249,341250.07092531235,1160806.6210585951,35077.016145012734,12354.03076332998,0.0,0.0,0.0,0.0,0.0
2021-11-27 19:00:00,290241.1732400271,25192.726570752664,71496.10685194535,1928902.8814555823,59731.923516115916,645843.6300808563,343111.45541433734,364606.3772974913,1162019.8795357733,35088.252425517014,12385.005566095404,0.0,0.0,0.0,0.0,0.0
2021-11-27 20:00:00,287523.53211663535,26927.286178623024,71496.10685194535,1924942.7505881437,61986.25119969333,645673.1518490309,344197.316225418,392207.01354520064,1176372.1754290606,35075.79048561092,12330.230431555492,0.0,0.0,0.0,0.0,0.0
2021-11-27 21:00:00,294957.2173281942,31962.759366057056,71595.011686086,1928517.7445690508,60034.50993882135,645436.9810604913,344249.95671781804,414156.69882259885,1210788.614499627,35073.31568759106,12382.200348124088,0.0,0.0,0.0,0.0,0.0
2021-11-27 22:00:00,299745.454744953,35534.442460989485,71661.31785035743,1927450.4021007582,58255.79100752851,644900.5655363897,343117.26770076796,422000.429975341,1219897.4175714673,35056.32694386387,12428.866455909634,0.0,0.0,0.0,0.0,0.0
2021-11-27 23:00:00,308132.7157871951,38521.01212732705,71693.00566823449,1919668.362829605,61780.351709001436,645078.6151723333,343591.1435610611,445299.2368691672,1195599.8195684466,35102.22780253012,12288.221659480321,0.0,0.0,0.0,0.0,0.0
