,name,x,y,type,v_nom,substation_type
401,287_MHX_ISS,-128.683904,54.025899,ac,287,ISS
402,287_KMO_GSS,-127.942556,53.563171,ac,287,GSS
403,287_MIN_DSS,-128.709788,54.032377,ac,287,DSS
404,287_SKA_DSS,-128.632826,54.452280,ac,287,DSS
405,287_RUP_DSS,-130.231685,54.256795,ac,287,DSS
406,287_BQN_DSS,-130.265553,56.940264,ac,287,DSS
407,287_KIT_DSS,-129.428050,55.443113,ac,287,DSS
408,287_EUR_ISS,-128.699764,54.041270,ac,287,ISS
409,230_NLY_DSS,-117.341514,49.006447,ac,230,DSS
410,230_CBK_DSS,-115.580487,49.500543,ac,230,DSS
411,230_NTL_DSS,-114.858257,49.735535,ac,230,DSS
412,230_HWW_JCT,-123.950849,49.122453,ac,230,JCT
413,230_DMR_DSS,-124.671575,49.392836,ac,230,DSS
414,230_SAT_DSS,-123.800936,48.806831,ac,230,DSS
415,230_HWW_DSS,-123.950849,49.122453,ac,230,DSS
416,230_VIT_TSS,-123.716421,48.827340,ac,230,TSS
417,230_PIK_DSS,-123.458141,48.490565,ac,230,DSS
418,230_KTG_DSS,-123.412041,48.566978,ac,230,DSS
419,230_GTP_DSS,-123.359952,48.473831,ac,230,DSS
420,230_HSY_DSS,-123.366532,48.442601,ac,230,DSS
421,230_ESQ_DSS,-123.443729,48.460636,ac,230,DSS
422,230_GOW_DSS,-123.421097,48.490141,ac,230,DSS
423,230_BNT_DSS,-123.443713,48.460626,ac,230,DSS
424,230_GLD_DSS,-126.064258,49.789185,ac,230,DSS
425,230_SEV_GSS,-117.504098,49.030161,ac,230,GSS
426,230_SEL_TSS,-117.513304,49.059567,ac,230,TSS
427,230_ACK_DSS,-118.993459,50.561355,ac,230,DSS
428,230_SAM_DSS,-119.251648,50.691570,ac,230,DSS
429,230_REV_GSS,-118.193945,51.048563,ac,230,GSS
430,230_ILL_DSS,-118.204474,50.985679,ac,230,DSS
431,230_VNT_TSS,-119.228870,50.251765,ac,230,TSS
432,230_INV_DSS,-116.117825,50.495098,ac,230,DSS
433,230_KHS_DSS,-116.994352,51.281768,ac,230,DSS
434,230_NIC_TSS,-120.389839,50.180236,ac,230,TSS
435,230_VVW_DSS,-120.282704,50.680084,ac,230,DSS
