name,x,y,type,v_nom
138_NL5_ISS,-120.43237,55.414509,138kV,138
138_FNG_GSS,-122.693082,58.651699,138kV,138
138_WSP_DSS,-122.701609,58.724172,138kV,138
138_SGP_ISS,-120.579551,55.87508,138kV,138
138_KLC_JCT,-122.252556,58.627855,138kV,138
138_FNC_JCT,-120.067751,58.64525,138kV,138
138_ABBC04_IPT,-119.7,58.64525,138kV,138
138_FNC_ISS,-120.067751,58.64525,138kV,138
138_KLC_DSS,-122.252556,58.627855,138kV,138
138_SBK_DSS,-120.909356,56.180774,138kV,138
138_TAY_DSS,-120.720662,56.181793,138kV,138
138_GMS_GSS,-122.197188,56.013887,138kV,138
138_PPS_DSS,-122.090366,56.016369,138kV,138
138_FOX_JCT,-120.973982,56.678386,138kV,138
138_FJN_DSS,-120.819985,56.226627,138kV,138
138_PPS_JCT,-122.090366,56.016369,138kV,138
138_FOX_DSS,-120.973982,56.678386,138kV,138
138_MWN_JCT,-122.641038,54.428895,138kV,138
138_KDS_DSS,-122.788399,55.070415,138kV,138
138_SVY_DSS,-122.621031,54.144222,138kV,138
138_MWN_DSS,-122.641038,54.428895,138kV,138
138_MKZ_JCT,-123.140269,55.304413,138kV,138
138_TBN_JCT,-123.158501,55.295451,138kV,138
138_MFE_DSS,-123.112472,55.319491,138kV,138
138_FCC_ISS,-123.157173,55.291563,138kV,138
138_MKZ_ISS,-123.140269,55.304413,138kV,138
138_TBN_DSS,-123.158501,55.295451,138kV,138
138_SLO_JCT,-120.773206,56.238164,138kV,138
138_SLO_ISS,-120.773206,56.238164,138kV,138
138_PRS_JCT,-123.181066,55.336604,138kV,138
138_FFI_ISS,-123.166176,55.321408,138kV,138
138_PRS_DSS,-123.181066,55.336604,138kV,138
138_TXB_DSS,-120.138347,56.338013,138kV,138
138_NGL_JCT,-120.6669,56.148665,138kV,138
138_NGL_ISS,-120.6669,56.148665,138kV,138
138_FBC_DSS,-120.654479,56.143947,138kV,138
138_MCM_JCT,-120.671073,56.14633,138kV,138
138_MCM_GSS,-120.671073,56.14633,138kV,138
138_MGP_ISS,-120.667808,56.144677,138kV,138
138_DSN_JCT,-120.088081,55.887864,138kV,138
138_ET3_JCT,-120.650154,56.002866,138kV,138
138_PLD_JCT,-120.448684,55.910947,138kV,138
138_SEP_JCT,-120.874874,56.033714,138kV,138
138_DSN_ISS,-120.088081,55.887864,138kV,138
138_ET3_ISS,-120.650154,56.002866,138kV,138
138_PLD_DSS,-120.448684,55.910947,138kV,138
138_SEP_DSS,-120.874874,56.033714,138kV,138
138_AYH_DSS,-128.991873,55.280931,138kV,138
138_EWL_JCT,-129.115236,56.014668,138kV,138
138_MEZ_JCT,-129.382914,56.108431,138kV,138
138_LNT_DSS,-129.942502,56.004113,138kV,138
138_EWL_DSS,-129.115236,56.014668,138kV,138
138_MEZ_DSS,-129.382914,56.108431,138kV,138
138_BRN_JCT,-125.75919,54.240294,138kV,138
138_TPY_DSS,-126.293668,54.52048,138kV,138
138_GLN_DSS,-125.015718,54.074358,138kV,138
138_PBL_JCT,-125.450021,54.154288,138kV,138
138_BRN_DSS,-125.75919,54.240294,138kV,138
138_PBL_ISS,-125.450021,54.154288,138kV,138
138_TKW_DSS,-126.765503,54.515284,138kV,138
138_SRS_DSS,-122.499481,54.771328,138kV,138
138_SKA_DSS,-128.632826,54.45228,138kV,138
138_BAB_DSS,-126.20441,54.877863,138kV,138
138_HUS_DSS,-126.668508,54.392877,138kV,138
138_HFP_ISS,-126.712969,54.377637,138kV,138
138_HML_DSS,-127.166748,53.67734,138kV,138
138_HZN_DSS,-127.61631,55.242006,138kV,138
138_EQU_JCT,-126.623444,54.381674,138kV,138
138_NHS_ISS,-126.711132,54.383939,138kV,138
138_EQU_ISS,-126.623444,54.381674,138kV,138
138_WNR_JCT,-129.967992,55.952871,138kV,138
138_STW_DSS,-129.980589,55.947779,138kV,138
138_WNR_ISS,-129.967992,55.952871,138kV,138
138_LNL_GSS,-130.02793,56.058348,138kV,138
138_BJT_TSS,-130.030311,56.057963,138kV,138
138_KNG_ISS,-130.006777,56.400197,138kV,138
63_FRU_DSS,-117.540945,49.113139,63kV,63
63_HER_DSS,-117.490252,49.173467,63kV,63
63_GLM_DSS,-117.675065,49.093084,63kV,63
63_SLM_DSS,-117.276773,49.1936,63kV,63
63_LBO_GSS,-117.502686,49.462064,63kV,63
63_USS_SWS,-117.483272,49.46096,63kV,63
63_COR_GSS,-117.469414,49.4689,63kV,63
63_BSS_SWS,-117.619731,49.326299,63kV,63
63_TAR_DSS,-117.551725,49.392719,63kV,63
63_PLA_DSS,-117.533848,49.447295,63kV,63
63_BLB_JCT,-117.657426,49.250951,63kV,63
63_CAS_DSS,-117.659423,49.31011,63kV,63
