Generator,bus,control,p_nom,carrier,marginal_cost,p_nom_opt,type,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
BC_PWL_DSS RoR Generator,PowellRiver,PQ,46.0,,2.19,46.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_RGR_DSS RoR Generator,MountWaddington,PQ,4.0,,1.86,4.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_RUT_GSS RoR Generator,Squamish-Lillooet,PQ,50.0,,2.19,50.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SCB_GSS RoR Generator,Columbia-Shuswap,PQ,12.0,,2.19,12.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SCG_GSS RoR Generator,SunshineCoast,PQ,17.0,,2.19,17.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SCN_DFS RoR Generator,EastKootenay,PQ,5.0,,2.19,5.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SHW_DSS RoR Generator,NorthOkanagan,PQ,6.0,,1.86,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SKK_GSS RoR Generator,FraserValley,PQ,22.0,,2.19,22.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SKO_GSS RoR Generator,Squamish-Lillooet,PQ,29.0,,2.19,29.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SKW_DSS RoR Generator,FraserValley,PQ,6.0,,2.19,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SLC_GSS RoR Generator,CentralKootenay,PQ,19.0,,1.86,19.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SOO_DSS RoR Generator,Squamish-Lillooet,PQ,13.0,,2.19,13.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_SSH_GSS RoR Generator,Alberni-Clayoquot,PQ,5.0,,2.19,5.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
